name,city,address,lat,lon,category,description
말티재 전망대(말티고개),충북 보은군,충청북도 보은군 속리산면 속리산로 477,36.5227181,127.7955243,관광지,
탁사정,충북 제천시,충청북도 제천시 봉양읍 제원로 478,37.1667158,128.1062986,관광지,
청주시한국공예관,충북 청주시,충청북도 청주시 청원구 상당로 314,36.6554335,127.4901913,관광지,
강박사냉면숯불갈비,충북 제천시,충청북도 제천시 청전대로 91,37.1487004,128.208137,관광지,
꿀참나무,충북 제천시,충청북도 제천시 의림대로49길 13,37.1325856,128.2075076,관광지,
속리산국립공원(충북),충북 보은군,충북 보은군 속리산면 상판리,36.5141178,127.8260988,관광지,
수레의산자연휴양림,충북 음성군,충청북도 음성군 생극면 차생로 310-108,37.0378111,127.6525284,관광지,
서산 해미읍성,충남 서산시,충청남도 서산시 해미면 남문2로 143,36.7131204,126.5491704,관광지,
부여 정림사지 오층석탑 [유네스코 세계유산],충남 부여군,충청남도 부여군 부여읍 정림로 83,36.2787109,126.9142501,관광지,
천리포수목원,충남 태안군,충청남도 태안군 소원면 천리포1길 187,36.7987541,126.1496077,관광지,
천안 봉선홍경사 갈기비,충남 천안시,충청남도 천안시 서북구 성환읍 대홍3길 77-48,36.9431105,127.1347025,관광지,
외연도,충남 보령시,충청남도 보령시 오천면 외연도1길 64,36.2286264,126.0817868,관광지,
구름포해수욕장,충남 태안군,충청남도 태안군 소원면 의항리,36.7979007,126.1519171,관광지,
동학사계곡,충남 공주시,충청남도 공주시 반포면,36.3968922,127.2503067,관광지,
아도니스,충남 보령시,충청남도 보령시 머드로 134,36.3134016,126.5129443,관광지,
파도리해수욕장,충남 태안군,충청남도 태안군 소원면 모항파도로 49,36.7490506,126.135434,관광지,
칠갑산자연휴양림,충남 청양군,충청남도 청양군 대치면 칠갑산로 668-103,36.431286,126.8421516,관광지,
오암서원,경북 성주군,경북 성주군 수륜면 참별로 1,35.8316705,128.2103911,관광지,
